Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Gender by Ethnicity,Male Multi-Racial,2004,4 year August,129,77,59.7,56,43.4,72.7,No Data,No Data,No Data,No Data,No Data,No Data,21,16.3,27.3,32,24.8,19,14.7,No Data,No Data,No Data,No Data
Gender by Ethnicity,Male Multi-Racial,2014,4 year June,491,407,82.9,392,79.8,96.3,158,32.2,38.8,234,47.7,57.5,15,3.1,3.7,65,13.2,15,3.1,3,0.6,1,0.2
Gender by Ethnicity,Male Multi-Racial,2013,4 year June,382,329,86.1,325,85.1,98.8,116,30.4,35.3,209,54.7,63.5,4,1.0,1.2,31,8.1,22,5.8,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2012,4 year June,375,317,84.5,312,83.2,98.4,142,37.9,44.8,170,45.3,53.6,5,1.3,1.6,39,10.4,19,5.1,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2011,4 year June,113,84,74.3,82,72.6,97.6,25,22.1,29.8,57,50.4,67.9,2,1.8,2.4,18,15.9,10,8.8,0,0.0,1,0.9
Gender by Ethnicity,Male Multi-Racial,2010,4 year June,76,59,77.6,58,76.3,98.3,13,17.1,22.0,45,59.2,76.3,1,1.3,1.7,12,15.8,5,6.6,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2009,4 year June,49,25,51.0,25,51.0,100.0,6,12.2,24.0,19,38.8,76.0,0,0.0,0.0,17,34.7,7,14.3,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2008,4 year June,54,24,44.4,21,38.9,87.5,6,11.1,25.0,15,27.8,62.5,3,5.6,12.5,19,35.2,10,18.5,1,1.9,0,0.0
Gender by Ethnicity,Male Multi-Racial,2007,4 year June,39,22,56.4,19,48.7,86.4,3,7.7,13.6,16,41.0,72.7,3,7.7,13.6,6,15.4,10,25.6,0,0.0,1,2.6
Gender by Ethnicity,Male Multi-Racial,2006,4 year June,99,64,64.6,56,56.6,87.5,14,14.1,21.9,42,42.4,65.6,8,8.1,12.5,21,21.2,11,11.1,0,0.0,2,2.0
Gender by Ethnicity,Male Multi-Racial,2005,4 year June,134,73,54.5,59,44.0,80.8,11,8.2,15.1,48,35.8,65.8,14,10.4,19.2,33,24.6,27,20.1,0,0.0,1,0.7
Gender by Ethnicity,Male Multi-Racial,2004,4 year June,129,68,52.7,50,38.8,73.5,12,9.3,17.6,38,29.5,55.9,18,14.0,26.5,41,31.8,19,14.7,1,0.8,0,0.0
Gender by Ethnicity,Male Multi-Racial,2003,4 year June,236,161,68.2,127,53.8,78.9,55,23.3,34.2,72,30.5,44.7,34,14.4,21.1,60,25.4,14,5.9,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2002,4 year June,6,0,0.0,0,0.0,No Data,0,0.0,No Data,0,0.0,No Data,0,0.0,No Data,6,100.0,0,0.0,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2001,4 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Gender by Ethnicity,Male Multi-Racial,2013,5 year August,377,336,89.1,330,87.5,98.2,115,30.5,34.2,215,57.0,64.0,6,1.6,1.8,10,2.7,29,7.7,1,0.3,1,0.3
Gender by Ethnicity,Male Multi-Racial,2012,5 year August,387,336,86.8,325,84.0,96.7,144,37.2,42.9,181,46.8,53.9,11,2.8,3.3,29,7.5,22,5.7,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2011,5 year August,113,88,77.9,84,74.3,95.5,25,22.1,28.4,59,52.2,67.0,4,3.5,4.5,10,8.8,13,11.5,1,0.9,1,0.9
Gender by Ethnicity,Male Multi-Racial,2010,5 year August,77,62,80.5,60,77.9,96.8,13,16.9,21.0,47,61.0,75.8,2,2.6,3.2,6,7.8,8,10.4,0,0.0,1,1.3
Gender by Ethnicity,Male Multi-Racial,2009,5 year August,46,32,69.6,31,67.4,96.9,6,13.0,18.8,25,54.3,78.1,1,2.2,3.1,4,8.7,10,21.7,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2008,5 year August,55,29,52.7,25,45.5,86.2,6,10.9,20.7,19,34.5,65.5,4,7.3,13.8,9,16.4,16,29.1,1,1.8,0,0.0
Gender by Ethnicity,Male Multi-Racial,2007,5 year August,35,22,62.9,19,54.3,86.4,3,8.6,13.6,16,45.7,72.7,3,8.6,13.6,2,5.7,9,25.7,0,0.0,2,5.7
Gender by Ethnicity,Male Multi-Racial,2006,5 year August,85,68,80.0,58,68.2,85.3,14,16.5,20.6,44,51.8,64.7,10,11.8,14.7,5,5.9,9,10.6,0,0.0,2,2.4
Gender by Ethnicity,Male Multi-Racial,2013,5 year June,377,335,88.9,329,87.3,98.2,115,30.5,34.3,214,56.8,63.9,6,1.6,1.8,11,2.9,29,7.7,1,0.3,1,0.3
Gender by Ethnicity,Male Multi-Racial,2012,5 year June,387,335,86.6,324,83.7,96.7,144,37.2,43.0,180,46.5,53.7,11,2.8,3.3,30,7.8,22,5.7,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2011,5 year June,113,86,76.1,83,73.5,96.5,25,22.1,29.1,58,51.3,67.4,3,2.7,3.5,12,10.6,13,11.5,1,0.9,1,0.9
Gender by Ethnicity,Male Multi-Racial,2010,5 year June,77,62,80.5,60,77.9,96.8,13,16.9,21.0,47,61.0,75.8,2,2.6,3.2,6,7.8,8,10.4,0,0.0,1,1.3
Gender by Ethnicity,Male Multi-Racial,2009,5 year June,46,31,67.4,30,65.2,96.8,6,13.0,19.4,24,52.2,77.4,1,2.2,3.2,5,10.9,10,21.7,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2008,5 year June,55,29,52.7,25,45.5,86.2,6,10.9,20.7,19,34.5,65.5,4,7.3,13.8,9,16.4,16,29.1,1,1.8,0,0.0
Gender by Ethnicity,Male Multi-Racial,2007,5 year June,35,22,62.9,19,54.3,86.4,3,8.6,13.6,16,45.7,72.7,3,8.6,13.6,2,5.7,9,25.7,0,0.0,2,5.7
Gender by Ethnicity,Male Multi-Racial,2006,5 year June,85,68,80.0,58,68.2,85.3,14,16.5,20.6,44,51.8,64.7,10,11.8,14.7,5,5.9,9,10.6,0,0.0,2,2.4
Gender by Ethnicity,Male Multi-Racial,2005,5 year June,131,87,66.4,66,50.4,75.9,11,8.4,12.6,55,42.0,63.2,21,16.0,24.1,11,8.4,32,24.4,0,0.0,1,0.8
Gender by Ethnicity,Male Multi-Racial,2004,5 year June,131,84,64.1,60,45.8,71.4,13,9.9,15.5,47,35.9,56.0,24,18.3,28.6,7,5.3,29,22.1,1,0.8,10,7.6
Gender by Ethnicity,Male Multi-Racial,2003,5 year June,236,192,81.4,140,59.3,72.9,56,23.7,29.2,84,35.6,43.8,52,22.0,27.1,23,9.7,20,8.5,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2002,5 year June,6,2,33.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,33.3,100.0,2,33.3,2,33.3,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2001,5 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Gender by Ethnicity,Male Multi-Racial,2012,6 year June,387,337,87.1,325,84.0,96.4,144,37.2,42.7,181,46.8,53.7,12,3.1,3.6,26,6.7,22,5.7,1,0.3,1,0.3
Gender by Ethnicity,Male Multi-Racial,2011,6 year June,118,89,75.4,85,72.0,95.5,25,21.2,28.1,60,50.8,67.4,4,3.4,4.5,13,11.0,14,11.9,1,0.8,1,0.8
Gender by Ethnicity,Male Multi-Racial,2010,6 year June,76,64,84.2,62,81.6,96.9,13,17.1,20.3,49,64.5,76.6,2,2.6,3.1,3,3.9,8,10.5,0,0.0,1,1.3
Gender by Ethnicity,Male Multi-Racial,2009,6 year June,48,36,75.0,33,68.8,91.7,6,12.5,16.7,27,56.3,75.0,3,6.3,8.3,1,2.1,11,22.9,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2008,6 year June,53,30,56.6,26,49.1,86.7,6,11.3,20.0,20,37.7,66.7,4,7.5,13.3,6,11.3,16,30.2,1,1.9,0,0.0
Gender by Ethnicity,Male Multi-Racial,2007,6 year June,36,23,63.9,20,55.6,87.0,3,8.3,13.0,17,47.2,73.9,3,8.3,13.0,2,5.6,9,25.0,0,0.0,2,5.6
Gender by Ethnicity,Male Multi-Racial,2006,6 year June,82,67,81.7,55,67.1,82.1,13,15.9,19.4,42,51.2,62.7,12,14.6,17.9,2,2.4,10,12.2,0,0.0,2,2.4
Gender by Ethnicity,Male Multi-Racial,2005,6 year June,126,90,71.4,68,54.0,75.6,11,8.7,12.2,57,45.2,63.3,22,17.5,24.4,4,3.2,31,24.6,0,0.0,1,0.8
Gender by Ethnicity,Male Multi-Racial,2004,6 year June,131,86,65.6,61,46.6,70.9,13,9.9,15.1,48,36.6,55.8,25,19.1,29.1,10,7.6,33,25.2,0,0.0,2,1.5
Gender by Ethnicity,Male Multi-Racial,2003,6 year June,238,203,85.3,145,60.9,71.4,56,23.5,27.6,89,37.4,43.8,58,24.4,28.6,8,3.4,25,10.5,0,0.0,1,0.4
Gender by Ethnicity,Male Multi-Racial,2002,6 year June,6,2,33.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,33.3,100.0,2,33.3,2,33.3,0,0.0,0,0.0
Gender by Ethnicity,Male Multi-Racial,2001,6 year June,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
Gender by Ethnicity,Male Native American,2014,4 year August,357,211,59.1,189,52.9,89.6,39,10.9,18.5,150,42.0,71.1,22,6.2,10.4,93,26.1,42,11.8,0,0.0,11,3.1
Gender by Ethnicity,Male Native American,2013,4 year August,322,177,55.0,166,51.6,93.8,29,9.0,16.4,137,42.5,77.4,11,3.4,6.2,95,29.5,39,12.1,4,1.2,6,1.9
Gender by Ethnicity,Male Native American,2012,4 year August,248,127,51.2,109,44.0,85.8,24,9.7,18.9,85,34.3,66.9,18,7.3,14.2,71,28.6,45,18.1,0,0.0,3,1.2
Gender by Ethnicity,Male Native American,2011,4 year August,256,142,55.5,135,52.7,95.1,36,14.1,25.4,99,38.7,69.7,7,2.7,4.9,81,31.6,24,9.4,2,0.8,6,2.3
Gender by Ethnicity,Male Native American,2010,4 year August,228,120,52.6,113,49.6,94.2,22,9.6,18.3,91,39.9,75.8,7,3.1,5.8,63,27.6,40,17.5,1,0.4,3,1.3
Gender by Ethnicity,Male Native American,2009,4 year August,209,102,48.8,92,44.0,90.2,16,7.7,15.7,76,36.4,74.5,10,4.8,9.8,59,28.2,40,19.1,3,1.4,5,2.4
Gender by Ethnicity,Male Native American,2008,4 year August,210,100,47.6,89,42.4,89.0,14,6.7,14.0,75,35.7,75.0,11,5.2,11.0,81,38.6,24,11.4,5,2.4,0,0.0
Gender by Ethnicity,Male Native American,2007,4 year August,202,96,47.5,78,38.6,81.3,15,7.4,15.6,63,31.2,65.6,18,8.9,18.8,61,30.2,32,15.8,3,1.5,9,4.5
Gender by Ethnicity,Male Native American,2006,4 year August,197,98,49.7,67,34.0,68.4,18,9.1,18.4,49,24.9,50.0,31,15.7,31.6,60,30.5,25,12.7,10,5.1,4,2.0
Gender by Ethnicity,Male Native American,2005,4 year August,163,75,46.0,47,28.8,62.7,9,5.5,12.0,38,23.3,50.7,28,17.2,37.3,45,27.6,27,16.6,8,4.9,8,4.9
Gender by Ethnicity,Male Native American,2004,4 year August,136,67,49.3,52,38.2,77.6,No Data,No Data,No Data,No Data,No Data,No Data,15,11.0,22.4,37,27.2,25,18.4,No Data,No Data,No Data,No Data
Gender by Ethnicity,Male Native American,2014,4 year June,357,201,56.3,182,51.0,90.5,39,10.9,19.4,143,40.1,71.1,19,5.3,9.5,103,28.9,42,11.8,0,0.0,11,3.1
Gender by Ethnicity,Male Native American,2013,4 year June,322,164,50.9,154,47.8,93.9,29,9.0,17.7,125,38.8,76.2,10,3.1,6.1,108,33.5,39,12.1,4,1.2,6,1.9
Gender by Ethnicity,Male Native American,2012,4 year June,248,118,47.6,102,41.1,86.4,23,9.3,19.5,79,31.9,66.9,16,6.5,13.6,80,32.3,45,18.1,0,0.0,3,1.2
Gender by Ethnicity,Male Native American,2011,4 year June,256,136,53.1,130,50.8,95.6,36,14.1,26.5,94,36.7,69.1,6,2.3,4.4,87,34.0,24,9.4,2,0.8,6,2.3
Gender by Ethnicity,Male Native American,2010,4 year June,228,111,48.7,104,45.6,93.7,22,9.6,19.8,82,36.0,73.9,7,3.1,6.3,72,31.6,40,17.5,1,0.4,3,1.3
Gender by Ethnicity,Male Native American,2009,4 year June,209,91,43.5,84,40.2,92.3,16,7.7,17.6,68,32.5,74.7,7,3.3,7.7,70,33.5,40,19.1,3,1.4,5,2.4
Gender by Ethnicity,Male Native American,2008,4 year June,210,89,42.4,80,38.1,89.9,13,6.2,14.6,67,31.9,75.3,9,4.3,10.1,92,43.8,24,11.4,5,2.4,0,0.0
Gender by Ethnicity,Male Native American,2007,4 year June,202,89,44.1,75,37.1,84.3,15,7.4,16.9,60,29.7,67.4,14,6.9,15.7,68,33.7,33,16.3,3,1.5,8,4.0
Gender by Ethnicity,Male Native American,2006,4 year June,197,91,46.2,63,32.0,69.2,18,9.1,19.8,45,22.8,49.5,28,14.2,30.8,66,33.5,26,13.2,10,5.1,4,2.0
Gender by Ethnicity,Male Native American,2005,4 year June,163,67,41.1,44,27.0,65.7,9,5.5,13.4,35,21.5,52.2,23,14.1,34.3,53,32.5,27,16.6,8,4.9,8,4.9
Gender by Ethnicity,Male Native American,2004,4 year June,136,63,46.3,50,36.8,79.4,14,10.3,22.2,36,26.5,57.1,13,9.6,20.6,41,30.1,25,18.4,6,4.4,1,0.7
Gender by Ethnicity,Male Native American,2003,4 year June,116,38,32.8,25,21.6,65.8,7,6.0,18.4,18,15.5,47.4,13,11.2,34.2,51,44.0,23,19.8,3,2.6,1,0.9
Gender by Ethnicity,Male Native American,2002,4 year June,136,39,28.7,18,13.2,46.2,5,3.7,12.8,13,9.6,33.3,21,15.4,53.8,49,36.0,40,29.4,5,3.7,2,1.5
Gender by Ethnicity,Male Native American,2001,4 year June,116,35,30.2,23,19.8,65.7,6,5.2,17.1,17,14.7,48.6,12,10.3,34.3,39,33.6,36,31.0,5,4.3,1,0.9
Gender by Ethnicity,Male Native American,2013,5 year August,342,211,61.7,192,56.1,91.0,29,8.5,13.7,163,47.7,77.3,19,5.6,9.0,39,11.4,70,20.5,11,3.2,11,3.2
Gender by Ethnicity,Male Native American,2012,5 year August,265,157,59.2,131,49.4,83.4,24,9.1,15.3,107,40.4,68.2,26,9.8,16.6,34,12.8,64,24.2,6,2.3,2,0.8
Gender by Ethnicity,Male Native American,2011,5 year August,276,173,62.7,161,58.3,93.1,36,13.0,20.8,125,45.3,72.3,12,4.3,6.9,43,15.6,45,16.3,4,1.4,9,3.3
Gender by Ethnicity,Male Native American,2010,5 year August,242,137,56.6,129,53.3,94.2,22,9.1,16.1,107,44.2,78.1,8,3.3,5.8,29,12.0,64,26.4,6,2.5,4,1.7
Gender by Ethnicity,Male Native American,2009,5 year August,210,114,54.3,100,47.6,87.7,16,7.6,14.0,84,40.0,73.7,14,6.7,12.3,26,12.4,55,26.2,8,3.8,6,2.9
Gender by Ethnicity,Male Native American,2008,5 year August,211,118,55.9,101,47.9,85.6,14,6.6,11.9,87,41.2,73.7,17,8.1,14.4,38,18.0,43,20.4,12,5.7,0,0.0
Gender by Ethnicity,Male Native American,2007,5 year August,201,108,53.7,83,41.3,76.9,15,7.5,13.9,68,33.8,63.0,25,12.4,23.1,21,10.4,54,26.9,7,3.5,10,5.0
Gender by Ethnicity,Male Native American,2006,5 year August,210,111,52.9,72,34.3,64.9,18,8.6,16.2,54,25.7,48.6,39,18.6,35.1,35,16.7,40,19.0,18,8.6,6,2.9
Gender by Ethnicity,Male Native American,2013,5 year June,342,206,60.2,188,55.0,91.3,29,8.5,14.1,159,46.5,77.2,18,5.3,8.7,44,12.9,70,20.5,11,3.2,11,3.2
Gender by Ethnicity,Male Native American,2012,5 year June,265,157,59.2,131,49.4,83.4,24,9.1,15.3,107,40.4,68.2,26,9.8,16.6,34,12.8,64,24.2,6,2.3,2,0.8
Gender by Ethnicity,Male Native American,2011,5 year June,276,170,61.6,160,58.0,94.1,36,13.0,21.2,124,44.9,72.9,10,3.6,5.9,46,16.7,45,16.3,4,1.4,9,3.3
Gender by Ethnicity,Male Native American,2010,5 year June,242,135,55.8,127,52.5,94.1,22,9.1,16.3,105,43.4,77.8,8,3.3,5.9,31,12.8,64,26.4,6,2.5,4,1.7
Gender by Ethnicity,Male Native American,2009,5 year June,210,113,53.8,99,47.1,87.6,16,7.6,14.2,83,39.5,73.5,14,6.7,12.4,27,12.9,55,26.2,8,3.8,6,2.9
Gender by Ethnicity,Male Native American,2008,5 year June,211,114,54.0,99,46.9,86.8,14,6.6,12.3,85,40.3,74.6,15,7.1,13.2,42,19.9,43,20.4,12,5.7,0,0.0
Gender by Ethnicity,Male Native American,2007,5 year June,201,106,52.7,82,40.8,77.4,15,7.5,14.2,67,33.3,63.2,24,11.9,22.6,22,10.9,55,27.4,7,3.5,10,5.0
Gender by Ethnicity,Male Native American,2006,5 year June,210,108,51.4,72,34.3,66.7,18,8.6,16.7,54,25.7,50.0,36,17.1,33.3,38,18.1,40,19.0,18,8.6,6,2.9
Gender by Ethnicity,Male Native American,2005,5 year June,159,84,52.8,51,32.1,60.7,9,5.7,10.7,42,26.4,50.0,33,20.8,39.3,18,11.3,37,23.3,11,6.9,9,5.7
Gender by Ethnicity,Male Native American,2004,5 year June,140,73,52.1,54,38.6,74.0,14,10.0,19.2,40,28.6,54.8,19,13.6,26.0,17,12.1,35,25.0,7,5.0,8,5.7
Gender by Ethnicity,Male Native American,2003,5 year June,116,53,45.7,30,25.9,56.6,7,6.0,13.2,23,19.8,43.4,23,19.8,43.4,21,18.1,32,27.6,8,6.9,2,1.7
Gender by Ethnicity,Male Native American,2002,5 year June,136,53,39.0,18,13.2,34.0,5,3.7,9.4,13,9.6,24.5,35,25.7,66.0,21,15.4,52,38.2,7,5.1,2,1.5
Gender by Ethnicity,Male Native American,2001,5 year June,116,42,36.2,26,22.4,61.9,6,5.2,14.3,20,17.2,47.6,16,13.8,38.1,24,20.7,41,35.3,8,6.9,1,0.9
Gender by Ethnicity,Male Native American,2012,6 year June,270,176,65.2,144,53.3,81.8,24,8.9,13.6,120,44.4,68.2,32,11.9,18.2,17,6.3,68,25.2,7,2.6,2,0.7
Gender by Ethnicity,Male Native American,2011,6 year June,284,191,67.3,175,61.6,91.6,36,12.7,18.8,139,48.9,72.8,16,5.6,8.4,26,9.2,48,16.9,7,2.5,9,3.2
Gender by Ethnicity,Male Native American,2010,6 year June,253,146,57.7,135,53.4,92.5,22,8.7,15.1,113,44.7,77.4,11,4.3,7.5,19,7.5,76,30.0,6,2.4,2,0.8
Gender by Ethnicity,Male Native American,2009,6 year June,215,125,58.1,107,49.8,85.6,16,7.4,12.8,91,42.3,72.8,18,8.4,14.4,18,8.4,56,26.0,7,3.3,6,2.8
Gender by Ethnicity,Male Native American,2008,6 year June,214,123,57.5,102,47.7,82.9,14,6.5,11.4,88,41.1,71.5,21,9.8,17.1,26,12.1,47,22.0,17,7.9,0,0.0
Gender by Ethnicity,Male Native American,2007,6 year June,203,113,55.7,86,42.4,76.1,15,7.4,13.3,71,35.0,62.8,27,13.3,23.9,15,7.4,57,28.1,7,3.4,10,4.9
Gender by Ethnicity,Male Native American,2006,6 year June,208,115,55.3,74,35.6,64.3,18,8.7,15.7,56,26.9,48.7,41,19.7,35.7,20,9.6,46,22.1,21,10.1,6,2.9
Gender by Ethnicity,Male Native American,2005,6 year June,157,89,56.7,52,33.1,58.4,9,5.7,10.1,43,27.4,48.3,37,23.6,41.6,8,5.1,40,25.5,11,7.0,9,5.7
Gender by Ethnicity,Male Native American,2004,6 year June,139,79,56.8,55,39.6,69.6,15,10.8,19.0,40,28.8,50.6,24,17.3,30.4,10,7.2,39,28.1,7,5.0,2,1.4
Gender by Ethnicity,Male Native American,2003,6 year June,115,55,47.8,31,27.0,56.4,7,6.1,12.7,24,20.9,43.6,24,20.9,43.6,12,10.4,39,33.9,7,6.1,2,1.7
Gender by Ethnicity,Male Native American,2002,6 year June,136,58,42.6,19,14.0,32.8,5,3.7,8.6,14,10.3,24.1,39,28.7,67.2,11,8.1,57,41.9,7,5.1,2,1.5
Gender by Ethnicity,Male Native American,2001,6 year June,116,47,40.5,26,22.4,55.3,6,5.2,12.8,20,17.2,42.6,21,18.1,44.7,12,10.3,48,41.4,8,6.9,1,0.9
Gender by Ethnicity,Male White,2014,4 year August,5571,4471,80.3,4203,75.4,94.0,1701,30.5,38.0,2502,44.9,56.0,268,4.8,6.0,751,13.5,292,5.2,29,0.5,28,0.5
Gender by Ethnicity,Male White,2013,4 year August,5477,4355,79.5,4147,75.7,95.2,1669,30.5,38.3,2478,45.2,56.9,208,3.8,4.8,745,13.6,299,5.5,40,0.7,35,0.6
Gender by Ethnicity,Male White,2012,4 year August,5306,4111,77.5,3897,73.4,94.8,1480,27.9,36.0,2417,45.6,58.8,214,4.0,5.2,807,15.2,315,5.9,34,0.6,22,0.4
Gender by Ethnicity,Male White,2011,4 year August,5155,3989,77.4,3824,74.2,95.9,1530,29.7,38.4,2294,44.5,57.5,165,3.2,4.1,757,14.7,329,6.4,43,0.8,26,0.5
Gender by Ethnicity,Male White,2010,4 year August,5439,4192,77.1,3961,72.8,94.5,1493,27.4,35.6,2468,45.4,58.9,231,4.2,5.5,799,14.7,382,7.0,44,0.8,19,0.3
Gender by Ethnicity,Male White,2009,4 year August,5468,4158,76.0,3971,72.6,95.5,1562,28.6,37.6,2409,44.1,57.9,187,3.4,4.5,850,15.5,388,7.1,43,0.8,27,0.5
Gender by Ethnicity,Male White,2008,4 year August,5349,3948,73.8,3764,70.4,95.3,1545,28.9,39.1,2219,41.5,56.2,184,3.4,4.7,836,15.6,482,9.0,43,0.8,38,0.7
Gender by Ethnicity,Male White,2007,4 year August,5239,3918,74.8,3542,67.6,90.4,1524,29.1,38.9,2018,38.5,51.5,376,7.2,9.6,707,13.5,502,9.6,42,0.8,68,1.3
Gender by Ethnicity,Male White,2006,4 year August,5383,4014,74.6,3508,65.2,87.4,1577,29.3,39.3,1931,35.9,48.1,506,9.4,12.6,731,13.6,498,9.3,49,0.9,86,1.6
Gender by Ethnicity,Male White,2005,4 year August,5124,3669,71.6,3080,60.1,83.9,1493,29.1,40.7,1587,31.0,43.3,589,11.5,16.1,756,14.8,523,10.2,69,1.3,107,2.1
Gender by Ethnicity,Male White,2004,4 year August,5164,3629,70.3,3040,58.9,83.8,No Data,No Data,No Data,No Data,No Data,No Data,589,11.4,16.2,813,15.7,621,12.0,No Data,No Data,No Data,No Data
Gender by Ethnicity,Male White,2014,4 year June,5571,4327,77.7,4081,73.3,94.3,1697,30.5,39.2,2384,42.8,55.1,246,4.4,5.7,895,16.1,292,5.2,29,0.5,28,0.5
Gender by Ethnicity,Male White,2013,4 year June,5477,4228,77.2,4041,73.8,95.6,1663,30.4,39.3,2378,43.4,56.2,187,3.4,4.4,871,15.9,299,5.5,41,0.7,35,0.6
Gender by Ethnicity,Male White,2012,4 year June,5306,3970,74.8,3785,71.3,95.3,1473,27.8,37.1,2312,43.6,58.2,185,3.5,4.7,948,17.9,315,5.9,34,0.6,22,0.4
Gender by Ethnicity,Male White,2011,4 year June,5155,3877,75.2,3725,72.3,96.1,1524,29.6,39.3,2201,42.7,56.8,152,2.9,3.9,867,16.8,330,6.4,44,0.9,26,0.5
Gender by Ethnicity,Male White,2010,4 year June,5439,3994,73.4,3790,69.7,94.9,1475,27.1,36.9,2315,42.6,58.0,204,3.8,5.1,997,18.3,382,7.0,44,0.8,19,0.3
Gender by Ethnicity,Male White,2009,4 year June,5468,3959,72.4,3793,69.4,95.8,1551,28.4,39.2,2242,41.0,56.6,166,3.0,4.2,1047,19.1,388,7.1,45,0.8,27,0.5
Gender by Ethnicity,Male White,2008,4 year June,5349,3759,70.3,3604,67.4,95.9,1530,28.6,40.7,2074,38.8,55.2,155,2.9,4.1,1022,19.1,483,9.0,45,0.8,38,0.7
Gender by Ethnicity,Male White,2007,4 year June,5239,3713,70.9,3401,64.9,91.6,1513,28.9,40.7,1888,36.0,50.8,312,6.0,8.4,905,17.3,504,9.6,47,0.9,67,1.3
Gender by Ethnicity,Male White,2006,4 year June,5383,3845,71.4,3398,63.1,88.4,1563,29.0,40.7,1835,34.1,47.7,447,8.3,11.6,898,16.7,500,9.3,49,0.9,86,1.6
Gender by Ethnicity,Male White,2005,4 year June,5124,3521,68.7,2990,58.4,84.9,1483,28.9,42.1,1507,29.4,42.8,531,10.4,15.1,904,17.6,523,10.2,69,1.3,107,2.1
Gender by Ethnicity,Male White,2004,4 year June,5164,3439,66.6,2928,56.7,85.1,1553,30.1,45.2,1375,26.6,40.0,511,9.9,14.9,1003,19.4,621,12.0,92,1.8,9,0.2
Gender by Ethnicity,Male White,2003,4 year June,5393,3402,63.1,2844,52.7,83.6,1449,26.9,42.6,1395,25.9,41.0,558,10.3,16.4,1067,19.8,822,15.2,62,1.1,36,0.7
Gender by Ethnicity,Male White,2002,4 year June,6003,3712,61.8,3040,50.6,81.9,1507,25.1,40.6,1533,25.5,41.3,673,11.2,18.1,1186,19.8,952,15.9,39,0.6,77,1.3
Gender by Ethnicity,Male White,2001,4 year June,6333,3688,58.2,2916,46.0,79.1,1594,25.2,43.2,1322,20.9,35.8,778,12.3,21.1,1233,19.5,1273,20.1,121,1.9,15,0.2
Gender by Ethnicity,Male White,2013,5 year August,5492,4505,82.0,4253,77.4,94.4,1659,30.2,36.8,2594,47.2,57.6,252,4.6,5.6,407,7.4,415,7.6,113,2.1,52,0.9
Gender by Ethnicity,Male White,2012,5 year August,5322,4287,80.6,4022,75.6,93.8,1481,27.8,34.5,2541,47.7,59.3,265,5.0,6.2,421,7.9,458,8.6,101,1.9,42,0.8
Gender by Ethnicity,Male White,2011,5 year August,5179,4191,80.9,3985,76.9,95.1,1530,29.5,36.5,2455,47.4,58.6,206,4.0,4.9,375,7.2,499,9.6,77,1.5,27,0.5
Gender by Ethnicity,Male White,2010,5 year August,5480,4455,81.3,4163,76.0,93.4,1500,27.4,33.7,2663,48.6,59.8,292,5.3,6.6,379,6.9,529,9.7,77,1.4,31,0.6
Gender by Ethnicity,Male White,2009,5 year August,5452,4372,80.2,4137,75.9,94.6,1564,28.7,35.8,2573,47.2,58.9,235,4.3,5.4,434,8.0,555,10.2,51,0.9,35,0.6
Gender by Ethnicity,Male White,2008,5 year August,5328,4135,77.6,3917,73.5,94.7,1552,29.1,37.5,2365,44.4,57.2,218,4.1,5.3,404,7.6,645,12.1,97,1.8,42,0.8
Gender by Ethnicity,Male White,2007,5 year August,5220,4115,78.8,3644,69.8,88.6,1521,29.1,37.0,2123,40.7,51.6,471,9.0,11.4,249,4.8,681,13.0,109,2.1,63,1.2
Gender by Ethnicity,Male White,2006,5 year August,5439,4235,77.9,3632,66.8,85.8,1582,29.1,37.4,2050,37.7,48.4,603,11.1,14.2,300,5.5,685,12.6,121,2.2,91,1.7
